user_id,final_rec
256,"[1126899, 933835, 1075368, 916122, 13416117]"
257,"[1106523, 1082185, 1044078, 1092026, 6533765]"
258,"[1029743, 840361, 1082185, 908531, 13416117]"
259,"[1082185, 1070820, 986912, 1098844, 13416117]"
260,"[1126899, 979707, 840361, 1005186, 13416117]"
261,"[1082185, 1029743, 981760, 840361, 13416117]"
262,"[981760, 962568, 1029743, 914190, 13416117]"
263,"[995242, 1082185, 981760, 916122, 13416117]"
267,"[1106523, 1005186, 840361, 986912, 13416117]"
269,"[1082185, 1106523, 923746, 981760, 6533765]"
271,"[1029743, 840361, 1005186, 986912, 13416117]"
273,"[1106523, 923746, 1053690, 1044078, 13416117]"
275,"[1082185, 1106523, 840361, 1068719, 6533765]"
276,"[1029743, 981760, 951590, 923746, 13416117]"
277,"[914190, 899624, 840361, 1106523, 6533765]"
278,"[1029743, 1005186, 840361, 986912, 13416117]"
279,"[1029743, 981760, 962568, 899624, 13416117]"
280,"[1106523, 923746, 1068719, 1044078, 6533765]"
281,"[1082185, 1070820, 981760, 986912, 13416117]"
282,"[1082185, 995242, 840361, 908531, 13416117]"
283,"[1082185, 981760, 1070820, 914190, 13416117]"
285,"[1082185, 1029743, 923746, 981760, 13416117]"
286,"[1106523, 923746, 981760, 962568, 13416117]"
287,"[1082185, 1029743, 923746, 908531, 6533765]"
288,"[1082185, 840361, 1070820, 908531, 13416117]"
289,"[1082185, 962568, 981760, 1070820, 13416117]"
290,"[1029743, 923746, 1068719, 1044078, 6533765]"
291,"[1106523, 923746, 1053690, 1044078, 6533765]"
292,"[1106523, 5569230, 1053690, 1004906, 13416117]"
293,"[995242, 981760, 962568, 979707, 13416117]"
294,"[1082185, 995242, 908531, 5569230, 13416117]"
297,"[1029743, 844165, 859075, 981760, 13416117]"
300,"[1106523, 923746, 981760, 1053690, 6533765]"
301,"[1082185, 995242, 951590, 5569230, 13416117]"
302,"[1029743, 981760, 962568, 899624, 13416117]"
303,"[1082185, 1029743, 951590, 5569230, 13416117]"
304,"[995242, 1082185, 923746, 844165, 6533765]"
305,"[1029743, 981760, 840361, 908531, 13416117]"
306,"[840361, 1082185, 1029743, 914190, 13416117]"
307,"[962568, 914190, 899624, 1070820, 13416117]"
308,"[1126899, 5569230, 840361, 979707, 13416117]"
311,"[1106523, 1005186, 923746, 1053690, 1038663]"
314,"[1082185, 1106523, 840361, 5569230, 13416117]"
316,"[1029743, 1044078, 840361, 914190, 13416117]"
317,"[1029743, 840361, 951590, 5569230, 13416117]"
318,"[1106523, 5569230, 1053690, 1004906, 13416117]"
319,"[1082185, 1106523, 979707, 916122, 13416117]"
320,"[1106523, 1005186, 840361, 986912, 13416117]"
321,"[1082185, 840361, 962568, 961554, 13416117]"
322,"[981760, 962568, 1070820, 1082185, 13416117]"
324,"[1082185, 1070820, 840361, 903325, 13416117]"
325,"[1029743, 981760, 1053690, 899624, 13416117]"
326,"[1106523, 923746, 1005186, 951590, 6533765]"
328,"[1082185, 1070820, 962568, 981760, 13416117]"
329,"[1082185, 1126899, 916122, 979707, 13416117]"
331,"[1106523, 923746, 962568, 981760, 13416117]"
332,"[995242, 840361, 916122, 1068719, 13416117]"
334,"[1082185, 1106523, 5569230, 981760, 13416117]"
335,"[840361, 1106523, 914190, 962568, 13416117]"
338,"[1106523, 923746, 962568, 1022254, 13416117]"
339,"[1106523, 1053690, 923746, 5569230, 13416117]"
341,"[1082185, 1029743, 981760, 840361, 13416117]"
342,"[1029743, 981760, 923746, 899624, 13416117]"
343,"[1106523, 981760, 1053690, 986912, 13416117]"
345,"[1029743, 1082185, 840361, 1068719, 13416117]"
346,"[1082185, 1029743, 981760, 951590, 13416117]"
347,"[1082185, 1029743, 981760, 840361, 13416117]"
348,"[899624, 923746, 981760, 962568, 6533765]"
349,"[840361, 1106523, 844179, 1044078, 13416117]"
350,"[914190, 1070820, 981760, 962568, 13416117]"
351,"[1106523, 1082185, 981760, 951590, 13416117]"
353,"[1082185, 1126899, 981760, 962568, 13416117]"
354,"[1082185, 951590, 981760, 1070820, 13416117]"
356,"[1029743, 840361, 1005186, 986912, 13416117]"
357,"[1082185, 840361, 1126899, 961554, 13416117]"
358,"[1106523, 981760, 1082185, 951590, 13416117]"
360,"[1070820, 844165, 1005186, 908531, 13416117]"
361,"[914190, 962568, 1106523, 1082185, 13416117]"
362,"[923746, 1068719, 1106523, 1005186, 13416117]"
364,"[1082185, 1029743, 981760, 840361, 13416117]"
365,"[1082185, 1106523, 981760, 986912, 13416117]"
367,"[1082185, 1070820, 962568, 914190, 13416117]"
368,"[1029743, 908531, 840361, 1053690, 13416117]"
371,"[840361, 995242, 961554, 916122, 13416117]"
374,"[1082185, 1029743, 981760, 962568, 13416117]"
375,"[1029743, 981760, 914190, 840361, 13416117]"
376,"[840361, 1106523, 1044078, 1068719, 6533765]"
377,"[1082185, 1029743, 840361, 1068719, 13416117]"
378,"[1082185, 1005186, 981760, 862349, 13416117]"
380,"[1106523, 1053690, 951590, 859075, 6533765]"
381,"[840361, 933835, 1070820, 5569230, 13416117]"
382,"[1029743, 899624, 1068719, 840361, 13416117]"
384,"[1082185, 995242, 844165, 1005186, 13416117]"
385,"[1082185, 840361, 962568, 914190, 13416117]"
386,"[1082185, 1005186, 844165, 862349, 6533765]"
387,"[1126899, 979707, 903325, 916122, 13416117]"
388,"[1029743, 923746, 908531, 844165, 13416117]"
389,"[923746, 1068719, 1082185, 1126899, 13416117]"
390,"[5569230, 1106523, 951590, 981760, 13416117]"
392,"[1106523, 1082185, 981760, 1053690, 13416117]"
393,"[1029743, 923746, 899624, 981760, 13416117]"
394,"[1082185, 1106523, 5569230, 866211, 13416117]"
395,"[1106523, 1053690, 981760, 986912, 13416117]"
396,"[1082185, 1126899, 1005186, 840361, 13416117]"
397,"[1029743, 840361, 908531, 961554, 13416117]"
398,"[1029743, 844165, 908531, 859075, 6533765]"
399,"[1082185, 1029743, 981760, 840361, 13416117]"
400,"[1029743, 1082185, 981760, 962568, 13416117]"
401,"[1082185, 1106523, 923746, 981760, 13416117]"
402,"[981760, 979707, 1106523, 5569230, 13416117]"
403,"[1106523, 923746, 981760, 1082185, 13416117]"
404,"[1126899, 840361, 979707, 903325, 13416117]"
405,"[1070820, 914190, 981760, 962568, 6533765]"
406,"[1082185, 1070820, 986912, 1098844, 13416117]"
408,"[1082185, 1106523, 840361, 866211, 13416117]"
409,"[1082185, 1070820, 962568, 981760, 13416117]"
410,"[1082185, 1029743, 923746, 981760, 13416117]"
411,"[1082185, 1106523, 923746, 1068719, 13416117]"
412,"[1082185, 1005186, 1106523, 923746, 6533765]"
413,"[1082185, 1106523, 923746, 981760, 13416117]"
414,"[1029743, 1082185, 981760, 962229, 13416117]"
415,"[1029743, 840361, 1005186, 986912, 13416117]"
417,"[1082185, 995242, 962568, 908531, 13416117]"
418,"[1082185, 1029743, 981760, 1005186, 13416117]"
419,"[5569230, 1106523, 951590, 1004906, 13416117]"
420,"[1082185, 1029743, 981760, 840361, 13416117]"
421,"[1029743, 981760, 962568, 899624, 13416117]"
424,"[1082185, 840361, 1070820, 914190, 13416117]"
425,"[923746, 1070820, 1085604, 1068719, 6533765]"
426,"[1082185, 962568, 981760, 1070820, 13416117]"
427,"[1082185, 981760, 1070820, 986912, 13416117]"
430,"[1082185, 1106523, 840361, 908531, 13416117]"
431,"[1029743, 1082185, 914190, 981760, 13416117]"
432,"[1029743, 1044078, 844165, 908531, 6533765]"
433,"[1082185, 1106523, 923746, 1068719, 13416117]"
434,"[840361, 1068719, 951590, 1044078, 6533765]"
435,"[916122, 981760, 979707, 995242, 13416117]"
436,"[1029743, 1082185, 923746, 981760, 13416117]"
437,"[1082185, 1106523, 981760, 962568, 13416117]"
438,"[1082185, 1029743, 840361, 1068719, 13416117]"
439,"[1082185, 1106523, 986912, 5569230, 13416117]"
441,"[1082185, 1070820, 986912, 840361, 13416117]"
442,"[1005186, 1085604, 1070820, 923746, 6533765]"
443,"[981760, 962568, 899624, 923746, 13416117]"
445,"[1106523, 840361, 1005186, 1053690, 13416117]"
446,"[1082185, 1029743, 981760, 840361, 13416117]"
447,"[1106523, 962568, 923746, 981760, 13416117]"
448,"[1082185, 1126899, 840361, 908531, 13416117]"
449,"[1092026, 908531, 859075, 862349, 6533765]"
450,"[995242, 1053690, 916122, 859075, 13416117]"
451,"[1082185, 1070820, 981760, 986912, 13416117]"
452,"[1082185, 1029743, 981760, 840361, 13416117]"
454,"[995242, 981760, 899624, 1053690, 13416117]"
456,"[840361, 1126899, 1005186, 844179, 13416117]"
457,"[1029743, 981760, 962568, 923746, 13416117]"
458,"[1029743, 981760, 923746, 899624, 13416117]"
459,"[1053690, 979707, 1106523, 916122, 13416117]"
460,"[1082185, 1070820, 986912, 1098844, 13416117]"
461,"[1106523, 979707, 840361, 5569230, 13416117]"
462,"[1082185, 1029743, 840361, 914190, 13416117]"
463,"[1082185, 1106523, 923746, 1068719, 13416117]"
464,"[1029743, 923746, 981760, 899624, 13416117]"
466,"[1106523, 840361, 1044078, 1068719, 6533765]"
467,"[1106523, 1082185, 923746, 962568, 13416117]"
468,"[1082185, 1106523, 951590, 908531, 6533765]"
469,"[1082185, 903325, 979707, 916122, 13416117]"
470,"[1029743, 844165, 908531, 1005186, 6533765]"
471,"[1082185, 1029743, 981760, 840361, 13416117]"
472,"[1082185, 1029743, 981760, 840361, 13416117]"
473,"[981760, 962568, 899624, 1029743, 13416117]"
474,"[1106523, 844165, 1044078, 859075, 6533765]"
475,"[1005186, 862349, 844165, 1075368, 6533765]"
476,"[1082185, 1029743, 981760, 840361, 13416117]"
477,"[1082185, 1029743, 981760, 840361, 13416117]"
479,"[1005186, 1106523, 923746, 1085604, 6533765]"
480,"[1082185, 840361, 1126899, 961554, 13416117]"
481,"[1106523, 5569230, 951590, 840361, 13416117]"
482,"[1082185, 1029743, 981760, 840361, 13416117]"
483,"[1106523, 923746, 1068719, 1044078, 6533765]"
484,"[1070820, 1082185, 1005186, 916122, 6533765]"
485,"[1029743, 1082185, 923746, 981760, 13416117]"
486,"[1082185, 1029743, 981760, 840361, 13416117]"
487,"[1029743, 1005186, 840361, 979707, 13416117]"
488,"[1082185, 1029743, 981760, 840361, 13416117]"
489,"[1082185, 981760, 1070820, 962568, 13416117]"
490,"[1082185, 840361, 914190, 908531, 6533765]"
491,"[962568, 1070820, 903325, 961554, 13416117]"
493,"[1029743, 840361, 908531, 1044078, 13416117]"
495,"[1029743, 923746, 1068719, 899624, 13416117]"
496,"[1106523, 1053690, 923746, 1044078, 6533765]"
497,"[1082185, 1058997, 840361, 1005186, 13416117]"
498,"[1106523, 1053690, 908531, 1044078, 6533765]"
501,"[1005186, 1126899, 1085604, 986912, 13416117]"
502,"[1106523, 1005186, 840361, 986912, 13416117]"
503,"[1082185, 1070820, 962568, 961554, 13416117]"
505,"[1029743, 1005186, 840361, 986912, 13416117]"
506,"[1029743, 1053690, 908531, 979707, 13416117]"
507,"[1029743, 840361, 1005186, 1070015, 13416117]"
510,"[1082185, 1070820, 916122, 962568, 13416117]"
511,"[1029743, 908531, 844165, 1044078, 6533765]"
512,"[1082185, 1029743, 981760, 840361, 13416117]"
513,"[914190, 962568, 1106523, 840361, 13416117]"
514,"[1082185, 1126899, 1005186, 961554, 13416117]"
515,"[1106523, 923746, 1068719, 899624, 6533765]"
517,"[840361, 1126899, 908531, 1068719, 13416117]"
518,"[981760, 962568, 1029743, 899624, 13416117]"
519,"[1029743, 981760, 923746, 1005186, 13416117]"
520,"[1029743, 981760, 962568, 899624, 13416117]"
521,"[1029743, 1005186, 986912, 840361, 13416117]"
523,"[981760, 1082185, 1053690, 995242, 13416117]"
524,"[1106523, 1053690, 923746, 5569230, 13416117]"
525,"[1106523, 1053690, 5569230, 981760, 13416117]"
526,"[1082185, 1029743, 923746, 1005186, 13416117]"
527,"[1070820, 933835, 979707, 914190, 13416117]"
528,"[1070820, 914190, 962568, 933835, 13416117]"
530,"[962568, 1070820, 914190, 840361, 13416117]"
532,"[1082185, 1029743, 981760, 840361, 13416117]"
534,"[1070820, 1005186, 1082185, 1075368, 6533765]"
536,"[1029743, 981760, 923746, 867188, 13416117]"
537,"[840361, 1029743, 914190, 962568, 13416117]"
538,"[1082185, 1070820, 962568, 981760, 13416117]"
539,"[1082185, 923746, 1068719, 962568, 13416117]"
540,"[1082185, 1106523, 916122, 1005186, 13416117]"
541,"[1005186, 1126899, 840361, 1085604, 6533765]"
542,"[1106523, 840361, 1044078, 908531, 6533765]"
543,"[1029743, 5569230, 981760, 908531, 13416117]"
544,"[1070820, 1005186, 1085604, 986912, 6533765]"
545,"[840361, 1126899, 914190, 962568, 13416117]"
548,"[1082185, 981760, 923746, 1106523, 13416117]"
550,"[1082185, 1029743, 981760, 840361, 13416117]"
551,"[1029743, 1082185, 981760, 923746, 13416117]"
553,"[1029743, 981760, 844165, 859075, 13416117]"
554,"[1082185, 1106523, 1053690, 986912, 13416117]"
557,"[1082185, 1106523, 986912, 923746, 13416117]"
558,"[1106523, 981760, 923746, 1053690, 6533765]"
560,"[1029743, 1082185, 981760, 914190, 13416117]"
561,"[1082185, 1029743, 962568, 961554, 13416117]"
562,"[1082185, 1029743, 981760, 923746, 13416117]"
564,"[1070820, 979707, 840361, 1005186, 13416117]"
567,"[1106523, 844165, 1044078, 908531, 6533765]"
568,"[1106523, 1082185, 1005186, 923746, 6533765]"
569,"[1029743, 1053690, 981760, 979707, 13416117]"
570,"[1082185, 1029743, 981760, 840361, 13416117]"
573,"[1029743, 981760, 923746, 899624, 13416117]"
574,"[1082185, 1029743, 908531, 840361, 6533765]"
575,"[1082185, 1106523, 5569230, 981760, 13416117]"
577,"[1082185, 1029743, 951590, 981760, 13416117]"
578,"[862349, 844165, 1005186, 1085604, 6533765]"
579,"[1082185, 1029743, 981760, 840361, 13416117]"
580,"[981760, 1029743, 923746, 1005186, 13416117]"
581,"[840361, 1126899, 979707, 908531, 13416117]"
582,"[962568, 903325, 979707, 981760, 13416117]"
583,"[995242, 1053690, 981760, 908531, 13416117]"
585,"[840361, 951590, 914190, 1068719, 13416117]"
586,"[995242, 1082185, 1053690, 981760, 13416117]"
587,"[962568, 1070820, 981760, 1022254, 13416117]"
588,"[1106523, 840361, 914190, 916122, 13416117]"
590,"[844165, 1106523, 908531, 859075, 6533765]"
591,"[1106523, 1053690, 1004906, 5569230, 13416117]"
592,"[1029743, 1005186, 840361, 986912, 13416117]"
593,"[1082185, 1106523, 923746, 1068719, 6533765]"
594,"[1082185, 1029743, 981760, 923746, 13416117]"
595,"[1082185, 1106523, 1053690, 923746, 6533765]"
596,"[1106523, 923746, 951590, 1068719, 13416117]"
597,"[1082185, 1126899, 1005186, 923746, 13416117]"
598,"[1106523, 923746, 981760, 899624, 13416117]"
599,"[1082185, 1029743, 981760, 840361, 13416117]"
600,"[1029743, 981760, 914190, 899624, 13416117]"
601,"[1126899, 1005186, 840361, 5569230, 13416117]"
602,"[1029743, 908531, 840361, 844165, 6533765]"
603,"[1005186, 1085604, 1070820, 1039156, 6533765]"
604,"[1082185, 1070820, 962568, 981760, 13416117]"
605,"[1106523, 1005186, 1082185, 1127831, 13416117]"
606,"[1029743, 840361, 961554, 962568, 13416117]"
608,"[1106523, 923746, 951590, 981760, 6533765]"
609,"[1106523, 1005186, 923746, 1053690, 1038663]"
610,"[1082185, 1029743, 981760, 840361, 13416117]"
611,"[1070820, 1005186, 1085604, 986912, 13416117]"
612,"[1029743, 844165, 908531, 859075, 13416117]"
614,"[1029743, 840361, 908531, 1082185, 13416117]"
615,"[1029743, 981760, 914190, 1082185, 13416117]"
617,"[1126899, 979707, 903325, 840361, 13416117]"
618,"[1082185, 1133018, 923746, 1092026, 6533765]"
621,"[981760, 1029743, 899624, 951590, 13416117]"
622,"[1106523, 1082185, 923746, 1053690, 6533765]"
623,"[923746, 1068719, 1106523, 1005186, 6533765]"
624,"[1106523, 1044078, 840361, 844165, 6533765]"
625,"[1070820, 914190, 981760, 933835, 13416117]"
627,"[1029743, 1082185, 979707, 962568, 13416117]"
628,"[1029743, 981760, 5569230, 951590, 13416117]"
630,"[1082185, 1070820, 981760, 962568, 13416117]"
